Day,Exercise,Stress,Sleep,Workload
1,1,3,7.5,Medium
2,0,4,6.0,Heavy
3,1,2,8.0,Light
4,0,5,5.5,Heavy
5,1,3,7.0,Medium
6,1,2,8.2,Light
7,0,4,6.3,Medium
8,1,3,7.8,Medium
9,0,4,6.1,Heavy
10,1,2,8.0,Light
11,1,3,7.4,Medium
12,0,4,6.2,Heavy
13,1,2,8.5,Light
14,0,3,7.0,Medium
15,1,2,8.0,Light
16,0,4,6.5,Heavy
17,1,3,7.3,Medium
18,1,2,8.1,Light
19,0,5,5.8,Heavy
20,1,3,7.6,Medium
21,0,4,6.4,Medium
22,1,2,8.0,Light
23,0,4,6.0,Heavy
24,1,3,7.5,Medium
25,1,2,8.3,Light
26,0,4,6.2,Heavy
27,1,3,7.1,Medium
28,0,5,5.9,Heavy
29,1,2,8.4,Light
30,1,3,7.7,Medium
31,0,4,6.1,Medium
32,1,2,8.2,Light
33,0,4,6.0,Heavy
34,1,3,7.4,Medium
35,1,2,8.1,Light
36,0,3,6.1,Light
37,0,5,7.5,Heavy
38,0,3,6.6,Light
39,0,4,4.6,Light
40,1,2,6.8,Medium
41,1,3,6.6,Medium
42,1,2,7.3,Light
43,0,3,6.6,Light
44,1,3,6.2,Medium
45,0,4,7.0,Medium
46,0,4,9.0,Light
47,1,4,7.4,Heavy
48,0,2,6.2,Light
49,1,3,5.9,Medium
50,0,5,7.8,Heavy
51,1,2,7.0,Light
52,1,4,5.7,Light
53,0,3,8.4,Medium
54,1,4,6.2,Heavy
55,1,3,8.7,Medium
56,1,2,6.8,Light
57,0,5,5.8,Medium
58,1,3,6.7,Heavy
59,0,3,7.0,Light
60,1,4,7.7,Heavy
